길 , longueur
굳이 [구지] , fermement . a tout prix
해돋이 [해도지] , lever de soleil
같이 [가치] , ensemble
밭 , champs
갇히다 , etre enferme . emprisonne
한국말 [한궁말] , langue coreenne
반갑습니다 (반갑다) , etre enchante . etre heureux
끝나다 [끈나다] , se terminer
밥솥 [밥쏱] , autocuiseur a riz
꽃다발 [꼳따발], bouquet de fleur
꽃 , fleur
먹히다 [머키다] , etre manger
좋다 [조타] , etre bon
집 , maison
연락 [열락] , communication
칼날 [칼랄] , lame de couteau
난로 [날로] , poele a charbon
넋 [넉] , ame
앉다 [안다] , s'assoir
많다 [만타] , avoir beaucoup . etre nombreu
닭 [닥] , poulet
삶 [삼] , vie
넓다 [널다] , etre large
핥다 [할ㅡ] , lecher
읊다 [읍ㅡ] , reciter
싫다 [실타] , ne pas aimer
값 [갑] , prix실
그립다 , etre cher(ere) . etre inoubliable . penser affectueusement
그리워하다 , regretter
음악 , musique
수학 , mathematique
교실 , salle de classe . amphitheatre
가수 , chanteur
지망생 , apprenti
지갑 , portefeuille
분명 , nettete . clarte
골목 , ruelle . allee
담배 , cigarette
사다 , acheter
허름하다 , etre minable . etre use
원하다 , vouloir . desirer . esperer
사랑 , amour
보내다 , envoyer . expedier . passer (du temps)
거스름돈 , monnaie
차갑다 , etre froid
왜 , pourquoi
울리다 , faire pleurer . sonner
느리다 , etre lent
딸 , fille
돈 , argent
모으다 , joindre . economiser
매우 , tres . fortement
사람 , personne
하루 , un jour . une journee
종일 , toute la journee
비 , pluie
네리다 , tomber . descendre
귀찮다 , etre genant
민한하다 , etre desole
하늘 , ciel
별 , etoile
보다 , regarder
덥다 , etre chaud
여름 , ete
날 , jour
오늘 , aujourd'hui
정말 , vraiment
나쁘다 , etre mauvais . etre mechant
우리 , nous
최선 , le mieux
다하다 , faire de son mieux . utiliser tous les moyens possibles
괴물 , monstre . fantome
팀 ,  equipe
선수 , athlete
안녕하세요 , bonjour
요즘 ,  ces jours-ci
잘 , bien
이다 , etre
반갑습니다 , enchante
사람 , personne
아 그래요? , ah bon?
미국 , amerique
프랑스 , france
영국 , angleterre
독일 , allemagne
중국 , chine
일본 , japon
학생 , etudiant
회사원 , employe
의사 , medecin
번역가 , traducteur
기자 , journaliste
은행원 , employe de banque
배우 , comedien
가정주부 , femme au foyer
요리사 , cuisinier
기혼 , marie
미혼 , celibataire
싱글 , celibataire
어떻게 , comment
이름 , nom
누구 , qui

